,precision,recall,f1-score,support
backdoor,0.9997532082922014,0.9995065383666419,0.9996298581122763,4053.0
ddos,0.9850291804110631,0.9695304695304695,0.9772183763373191,4004.0
dos,0.9793589120932491,0.97959679378188,0.979477838494232,4117.0
injection,0.9563008130081301,0.9651282051282051,0.9606942317508933,3900.0
mitm,0.7243243243243244,0.6411483253588517,0.6802030456852792,209.0
normal,0.9967993598719744,0.9966,0.9966996699669967,10000.0
password,0.985,0.9899497487437185,0.9874686716791979,3980.0
ransomware,0.9976976208749041,0.9992313604919293,0.9984639016897081,3903.0
scanning,0.9856683963429701,0.9871318980450383,0.9863996043521266,4041.0
xss,0.9701715137956749,0.9752623688155923,0.9727102803738318,4002.0
accuracy,0.9846715155535549,0.9846715155535549,0.9846715155535549,0.9846715155535549
macro avg,0.9580103329014491,0.9503085708262328,0.9538965478441861,42209.0
weighted avg,0.9845543364686279,0.9846715155535549,0.9845913516011341,42209.0
