,precision,recall,f1-score,support
backdoor,0.9992603550295858,1.0,0.9996300406955235,4053.0
ddos,0.9892284569138277,0.9862637362637363,0.987743871935968,4004.0
dos,0.9953005194162751,0.9774107359727957,0.9862745098039216,4117.0
injection,0.9878531819382097,0.9592307692307692,0.9733315988031742,3900.0
mitm,0.6089743589743589,0.9090909090909091,0.7293666026871402,209.0
normal,0.998699219531719,0.9981,0.9983995198559568,10000.0
password,0.9982238010657194,0.9884422110552764,0.993308925640702,3980.0
ransomware,0.9994877049180327,0.9997437868306431,0.9996157294735494,3903.0
scanning,0.9877149877149877,0.9948032665181886,0.9912464554308963,4041.0
xss,0.9669099756690998,0.9930034982508745,0.9797830374753451,4002.0
accuracy,0.9895519912814803,0.9895519912814803,0.9895519912814803,0.9895519912814803
macro avg,0.9531652561171816,0.9806088913213193,0.9638700291802177,42209.0
weighted avg,0.9905537130298556,0.9895519912814803,0.9898584090465238,42209.0
